Afghanistan,0
Albania,1.4
Algeria,0
Andorra,0
Angola,0
Antigua and Barbuda,0
Argentina,2.9
Armenia,0.3
Australia,0
Austria,0
Azerbaijan,5.3
Bahamas,0
Bahrain,0
Bangladesh,57.8
Barbados,0
Belarus,0
Belgium,0
Belize,5.6
Benin,71.8
Bhutan,27.2
Bolivia (Plurinational State of),20.5
Bosnia and Herzegovina,0.8
Botswana,0
Brazil,2.7
Brunei Darussalam,0
Bulgaria,0
Burkina Faso,84
Burundi,84.5
Cambodia,45.9
Cameroon,53.3
Canada,0
Cape Verde,0
Central African Republic,0
Chad,62.9
Chile,0
China,12.5
Colombia,5.4
Comoros,0
Congo,40.6
Congo (Democratic Republic of the),74
Costa Rica,0
Côte d'Ivoire,61.5
Croatia,4.4
Cuba,0
Cyprus,0
Czech Republic,3.1
Denmark,0
Djibouti,29.3
Dominica,0
Dominican Republic,4.6
Ecuador,2.2
Egypt,6
El Salvador,0
Equatorial Guinea,0
Eritrea,0
Estonia,7.2
Ethiopia,87.3
Fiji,0
Finland,0
France,0
Gabon,0
Gambia,60.4
Georgia,0.8
Germany,0
Ghana,31.2
Greece,0
Grenada,0
Guatemala,25.9
Guinea,82.5
Guinea-Bissau,0
Guyana,7.7
Haiti,56.4
Honduras,32.5
Hong Kong, China (SAR),0
Hungary,4.6
Iceland,0
India,53.7
Indonesia,20.8
Iran (Islamic Republic of),0
Iraq,14.2
Ireland,0
Israel,0
Italy,0
Jamaica,0
Japan,0
Jordan,2.4
Kazakhstan,0.6
Kenya,47.8
Kiribati,0
Korea (Democratic People's Rep. of),0
Korea (Republic of),0
Kuwait,0
Kyrgyzstan,4.9
Lao People's Democratic Republic,47.2
Latvia,1.6
Lebanon,0
Lesotho,35.3
Liberia,83.9
Libya,0
Liechtenstein,0
Lithuania,0
Luxembourg,0
The former Yugoslav Republic of Macedonia,1.9
Madagascar,66.9
Malawi,66.7
Malaysia,0
Maldives,5.2
Mali,86.6
Malta,0
Marshall Islands,0
Mauritania,61.7
Mauritius,0
Mexico,4
Micronesia (Federated States of),0
Moldova (Republic of),1.9
Monaco,0
Mongolia,15.8
Montenegro,1.5
Morocco,10.6
Mozambique,79.3
Myanmar,0
Namibia,39.6
Nauru,0
Nepal,44.2
Netherlands,0
New Zealand,0
Nicaragua,28
Niger,92.4
Nigeria,54.1
Norway,0
Palestine, State of,1.4
Oman,0
Pakistan,49.4
Palau,0
Panama,0
Papua New Guinea,0
Paraguay,13.3
Peru,15.7
Philippines,13.4
Poland,0
Portugal,0
Qatar,0
Romania,0
Russian Federation,1.3
Rwanda,69
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
San Marino,0
Sao Tome and Principe,34.5
Saudi Arabia,0
Senegal,74.4
Serbia,0.8
Seychelles,0
Sierra Leone,77
Singapore,0
Slovakia,0
Slovenia,0
Solomon Islands,0
Somalia,81.2
South Africa,13.4
Spain,0
Sri Lanka,5.3
Sudan,0
Suriname,8.2
Swaziland,20.4
Sweden,0
Switzerland,0
Syrian Arab Republic,5.5
Tajikistan,17.1
Tanzania (United Republic of),65.6
Thailand,1.6
Timor-Leste,68.1
Togo,54.3
Tonga,0
Trinidad and Tobago,5.6
Tunisia,2.8
Turkey,6.6
Turkmenistan,0
Tuvalu,0
Uganda,69.9
Ukraine,2.2
United Arab Emirates,0.6
United Kingdom,0
United States,0
Uruguay,1.7
Uzbekistan,2.3
Vanuatu,30.1
Venezuela (Bolivarian Republic of),0
Viet Nam,4.2
Yemen,52.5
Zambia,64.2
Zimbabwe,39.1
